question_id,subject,topic,difficulty,correct_answer,final_answer,tool_answer,tool_correct,tool_confidence,recommended_pipeline,evaluation_mode,ocr_text,ocr_issue,error_type,status,error,needs_manual_review,image_path,expected_solution
cmp_p01,fizik,hız-zaman grafiği,orta,C,40 m,C,True,1.0,vision_llm,both,"Hiz-zaman grafigine gore 0-4 s araliginda cismin yer
uv mis) F
degistirmesi kactir?
A)10m]B)20m C)40m D)50m E)80m
10
t(s)
4",,,success,,False,data/comparison_questions/cmp_p01_velocity_time.png,Hiz-zaman grafiginin altindaki alan yer degistirmeyi verir. 0-4 s arasi hiz 10 m/s oldugundan alan 4*10=40 m'dir.
cmp_p02,fizik,dinamik,orta,B,3 m/s^2,B,True,0.9,vision_llm,both,"Surtunmesiz yatay duzlemdeki cisme sekildeki kuvvetler
uygulanmaktadir.
Cismin ivmesi kactir?
A) 2 m/s42 B)3m/s42. C)4m/s42 D)5Sm/s42 E)7
m/s42

4X) me LEY } m=4kg | >",,,success,,False,data/comparison_questions/cmp_p02_dynamics.png,Net kuvvet 20 - 8 = 12 N'dur. F = m*a bagintisindan a = 12/4 = 3 m/s^2 bulunur.
cmp_p03,fizik,iş ve enerji,orta,D,80 J,D,True,1.0,both_agree,both,"Yatay duzlemde duran bir cisme hareket dogrultusunda
16 N kuvvet uygulanip cisim 5 m yer degistiriyor.
Yapilan is kactir?

A)20J B)40J C)60J D)80J E)100J",,,success,,False,data/comparison_questions/cmp_p03_work.png,Yatay duzlemde kuvvet hareket dogrultusunda oldugundan W = F*x = 16*5 = 80 J olur.
cmp_p04,fizik,elektrik devresi,orta,B,2 A,B,True,1.0,vision_llm,both,"Seri bagli direnclerden olusan devrede akim siddeti kactir?
AJ1A B)2A C)3A D)4A E)6A
-",,,success,,False,data/comparison_questions/cmp_p04_circuit.png,Seri bagli 4 ohm ve 2 ohm direncin esdegeri 6 ohm'dur. I = V/R = 12/6 = 2 A.
cmp_p05,fizik,optik - aynalar,orta,D,20 cm,D,True,1.0,both_agree,both,"Duzlem aynanin onundeki cisim aynadan 20 cm uzaktadir.
Goruntunun aynaya uzakligi kac cm'dir?
A)5 B)10 C)15 D)20 E)40 2",,,success,,False,data/comparison_questions/cmp_p05_mirror.png,Duzlem aynada goruntunun aynaya uzakligi cismin aynaya uzakligina esittir. Cisim aynadan 20 cm uzaktaysa goruntu de 20 cm uzaktadir.
cmp_p06,fizik,dalga,orta,C,12 m/s,C,True,1.0,both_agree,both,"Bir dalganin dalga boyu 3 m, frekansi 4 Hz'dir.
Dalganin yayilma hizi kactir?
A)7m/s B)Q9m/s C)12 m/s D)15m/s_ E)18 m/s",,,success,,False,data/comparison_questions/cmp_p06_wave.png,Dalga hizi v = lambda*f bagintisiyle bulunur. 3 m * 4 Hz = 12 m/s.
cmp_p07,fizik,kaldırma kuvveti,orta,A,30 N,A,True,1.0,vision_llm,both,"Sivi icinde dengede yuzen cismin agirligi 30 N'dur.
Cisme etki eden kaldirma kuwveti kactir?
A)30N B)20N C)15N D)10N E)5N
‘AF _k
y, G=30 N",,,success,,False,data/comparison_questions/cmp_p07_buoyancy.png,"Cisim sivi icinde dengede yuzdugune gore kaldirma kuvveti cismin agirligina esittir, yani 30 N."
cmp_p08,fizik,ısı ve sıcaklık,orta,E,4200 J,E,True,0.9,both_agree,both,"100 g suyun sicakligi 20 C'den 30 C’'ye cikariliyor.
c_su = 4200 J/(kg C) olduguna gore alinan isi kactir?
A)420J B)840J ©C)2100J D)3000J £E)4200J",,,success,,False,data/comparison_questions/cmp_p08_heat.png,"Q = m*c*DeltaT. m=0,1 kg, c=4200 J/kg C ve DeltaT=10 C oldugundan Q=0,1*4200*10=4200 J."
cmp_p09,fizik,momentum,orta,B,4 m/s,B,True,1.0,both_agree,both,"2 kg kutleli cisim 6 m/s hizla durmakta olan 1 kg kutleli

cisme carpip birlikte hareket ediyor.

Ortak hiz kactir?

A)3m/s B)4m/s C)5m/s D)6m/s_ E)8m/s
2kg } > 1 kg",,,success,,False,data/comparison_questions/cmp_p09_momentum.png,Tam esnek olmayan carpisma sonrasi ortak hiz v = (m1*v1 + m2*v2)/(m1+m2) = (2*6 + 1*0)/3 = 4 m/s.
cmp_p10,fizik,tork,orta,C,24 N.m,C,True,1.0,both_agree,both,"Noktasi etrafinda donebilen cubuga sekildeki gibi dik 12 N
kuvvet uygulanir.
Olusan tork kac N.m'dir?
A) 12 B)18 C)24 D)30 £&)36
[ N
2m",,,success,,False,data/comparison_questions/cmp_p10_torque.png,Kuvvet cubuga dik uygulandigi icin tork = F*d = 12*2 = 24 N.m olur.
